,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_num_nodes_saved
191,random_allocation,6,0.02,0.13,2.6
192,random_allocation,6,0.03,0.13,2.5
193,random_allocation,6,0.04,0.13,2.2
194,random_allocation,6,0.05,0.13,2.95
195,random_allocation,6,0.06,0.13,3.15
196,random_allocation,6,0.07,0.13,2.25
197,random_allocation,6,0.08,0.13,2.55
198,random_allocation,6,0.09,0.13,2.8
199,random_allocation,6,0.1,0.13,2.85
200,random_allocation,6,0.01,0.14,2.9
201,random_allocation,6,0.02,0.14,2.2
202,random_allocation,6,0.03,0.14,2.65
203,random_allocation,6,0.04,0.14,2.35
204,random_allocation,6,0.05,0.14,3.1
205,random_allocation,6,0.06,0.14,2.85
206,random_allocation,6,0.07,0.14,2.55
207,random_allocation,6,0.08,0.14,2.4
208,random_allocation,6,0.09,0.14,2.65
209,random_allocation,6,0.1,0.14,2.65
210,random_allocation,6,0.01,0.15,3.1
211,random_allocation,6,0.02,0.15,2.85
212,random_allocation,6,0.03,0.15,2.65
213,random_allocation,6,0.04,0.15,3.1
214,random_allocation,6,0.05,0.15,2.6
215,random_allocation,6,0.06,0.15,2.4
216,random_allocation,6,0.07,0.15,2.65
217,random_allocation,6,0.08,0.15,2.3
218,random_allocation,6,0.09,0.15,2.4
219,random_allocation,6,0.1,0.15,2.3
220,random_allocation,7,0.01,0.05,3.15
221,random_allocation,7,0.02,0.05,3.25
222,random_allocation,7,0.03,0.05,3.15
223,random_allocation,7,0.04,0.05,2.25
224,random_allocation,7,0.05,0.05,2.45
225,random_allocation,7,0.06,0.05,3.1
226,random_allocation,7,0.07,0.05,3.05
227,random_allocation,7,0.08,0.05,2.7
228,random_allocation,7,0.09,0.05,2.65
229,random_allocation,7,0.1,0.05,2.4
230,random_allocation,7,0.01,0.06,2.8
231,random_allocation,7,0.02,0.06,2.6
232,random_allocation,7,0.03,0.06,2.95
233,random_allocation,7,0.04,0.06,2.6
234,random_allocation,7,0.05,0.06,2.65
235,random_allocation,7,0.06,0.06,2.8
236,random_allocation,7,0.07,0.06,3.05
237,random_allocation,7,0.08,0.06,2.65
238,random_allocation,7,0.09,0.06,3.0
239,random_allocation,7,0.1,0.06,2.4
240,random_allocation,7,0.01,0.07,3.25
241,random_allocation,7,0.02,0.07,2.35
242,random_allocation,7,0.03,0.07,3.1
243,random_allocation,7,0.04,0.07,3.0
244,random_allocation,7,0.05,0.07,2.35
245,random_allocation,7,0.06,0.07,2.4
246,random_allocation,7,0.07,0.07,2.8
247,random_allocation,7,0.08,0.07,3.2
248,random_allocation,7,0.09,0.07,3.1
249,random_allocation,7,0.1,0.07,2.7
250,random_allocation,7,0.01,0.08,2.55
251,random_allocation,7,0.02,0.08,3.0
252,random_allocation,7,0.03,0.08,2.85
253,random_allocation,7,0.04,0.08,2.7
254,random_allocation,7,0.05,0.08,2.85
255,random_allocation,7,0.06,0.08,2.55
256,random_allocation,7,0.07,0.08,2.5
257,random_allocation,7,0.08,0.08,2.7
258,random_allocation,7,0.09,0.08,2.4
259,random_allocation,7,0.1,0.08,2.5
260,random_allocation,7,0.01,0.09,2.75
261,random_allocation,7,0.02,0.09,2.5
262,random_allocation,7,0.03,0.09,2.45
263,random_allocation,7,0.04,0.09,2.75
264,random_allocation,7,0.05,0.09,2.7
265,random_allocation,7,0.06,0.09,2.75
266,random_allocation,7,0.07,0.09,2.65
267,random_allocation,7,0.08,0.09,2.5
268,random_allocation,7,0.09,0.09,2.85
269,random_allocation,7,0.1,0.09,2.6
270,random_allocation,7,0.01,0.1,2.65
271,random_allocation,7,0.02,0.1,2.75
272,random_allocation,7,0.03,0.1,2.15
273,random_allocation,7,0.04,0.1,2.65
274,random_allocation,7,0.05,0.1,2.3
275,random_allocation,7,0.06,0.1,2.75
276,random_allocation,7,0.07,0.1,2.9
277,random_allocation,7,0.08,0.1,2.6
278,random_allocation,7,0.09,0.1,2.4
279,random_allocation,7,0.1,0.1,2.4
280,random_allocation,7,0.01,0.11,2.4
281,random_allocation,7,0.02,0.11,2.85
282,random_allocation,7,0.03,0.11,2.45
283,random_allocation,7,0.04,0.11,3.2
284,random_allocation,7,0.05,0.11,2.5
285,random_allocation,7,0.06,0.11,2.75
286,random_allocation,7,0.07,0.11,2.55
287,random_allocation,7,0.08,0.11,2.6
288,random_allocation,7,0.09,0.11,2.55
289,random_allocation,7,0.1,0.11,3.25
290,random_allocation,7,0.01,0.12,3.1
291,random_allocation,7,0.02,0.12,2.6
292,random_allocation,7,0.03,0.12,2.95
293,random_allocation,7,0.04,0.12,2.25
294,random_allocation,7,0.05,0.12,2.55
295,random_allocation,7,0.06,0.12,2.65
296,random_allocation,7,0.07,0.12,3.0
297,random_allocation,7,0.08,0.12,2.65
298,random_allocation,7,0.09,0.12,2.55
299,random_allocation,7,0.1,0.12,2.5
300,random_allocation,7,0.01,0.13,2.4
301,random_allocation,7,0.02,0.13,2.65
302,random_allocation,7,0.03,0.13,2.45
303,random_allocation,7,0.04,0.13,2.45
304,random_allocation,7,0.05,0.13,2.5
305,random_allocation,7,0.06,0.13,2.85
306,random_allocation,7,0.07,0.13,2.95
307,random_allocation,7,0.08,0.13,2.85
308,random_allocation,7,0.09,0.13,2.6
309,random_allocation,7,0.1,0.13,2.55
310,random_allocation,7,0.01,0.14,3.0
311,random_allocation,7,0.02,0.14,2.85
312,random_allocation,7,0.03,0.14,2.6
313,random_allocation,7,0.04,0.14,3.2
314,random_allocation,7,0.05,0.14,2.7
315,random_allocation,7,0.06,0.14,3.35
316,random_allocation,7,0.07,0.14,2.35
317,random_allocation,7,0.08,0.14,2.65
318,random_allocation,7,0.09,0.14,3.15
319,random_allocation,7,0.1,0.14,3.3
320,random_allocation,7,0.01,0.15,2.35
321,random_allocation,7,0.02,0.15,2.0
322,random_allocation,7,0.03,0.15,1.75
323,random_allocation,7,0.04,0.15,2.05
324,random_allocation,7,0.05,0.15,2.05
325,random_allocation,7,0.06,0.15,1.7
326,random_allocation,7,0.07,0.15,1.85
327,random_allocation,7,0.08,0.15,1.6
328,random_allocation,7,0.09,0.15,1.65
329,random_allocation,7,0.1,0.15,1.75
330,random_allocation,8,0.01,0.05,2.95
331,random_allocation,8,0.02,0.05,3.1
332,random_allocation,8,0.03,0.05,2.35
333,random_allocation,8,0.04,0.05,3.05
334,random_allocation,8,0.05,0.05,2.65
335,random_allocation,8,0.06,0.05,2.95
336,random_allocation,8,0.07,0.05,3.0
337,random_allocation,8,0.08,0.05,2.75
338,random_allocation,8,0.09,0.05,3.0
339,random_allocation,8,0.1,0.05,2.85
340,random_allocation,8,0.01,0.06,2.65
341,random_allocation,8,0.02,0.06,2.9
342,random_allocation,8,0.03,0.06,2.85
343,random_allocation,8,0.04,0.06,3.45
344,random_allocation,8,0.05,0.06,3.0
345,random_allocation,8,0.06,0.06,2.55
346,random_allocation,8,0.07,0.06,2.45
347,random_allocation,8,0.08,0.06,2.8
348,random_allocation,8,0.09,0.06,2.3
349,random_allocation,8,0.1,0.06,3.35
350,random_allocation,8,0.01,0.07,2.75
351,random_allocation,8,0.02,0.07,3.2
352,random_allocation,8,0.03,0.07,2.55
353,random_allocation,8,0.04,0.07,3.1
354,random_allocation,8,0.05,0.07,2.3
355,random_allocation,8,0.06,0.07,2.75
356,random_allocation,8,0.07,0.07,2.7
357,random_allocation,8,0.08,0.07,2.25
358,random_allocation,8,0.09,0.07,3.2
359,random_allocation,8,0.1,0.07,2.95
360,random_allocation,8,0.01,0.08,2.6
361,random_allocation,8,0.02,0.08,3.15
362,random_allocation,8,0.03,0.08,2.95
363,random_allocation,8,0.04,0.08,2.6
364,random_allocation,8,0.05,0.08,2.75
365,random_allocation,8,0.06,0.08,2.95
366,random_allocation,8,0.07,0.08,2.8
367,random_allocation,8,0.08,0.08,3.0
368,random_allocation,8,0.09,0.08,3.0
369,random_allocation,8,0.1,0.08,2.95
370,random_allocation,8,0.01,0.09,2.6
371,random_allocation,8,0.02,0.09,2.65
372,random_allocation,8,0.03,0.09,2.45
373,random_allocation,8,0.04,0.09,3.4
374,random_allocation,8,0.05,0.09,2.1
375,random_allocation,8,0.06,0.09,2.7
376,random_allocation,8,0.07,0.09,3.0
377,random_allocation,8,0.08,0.09,2.45
378,random_allocation,8,0.09,0.09,2.7
379,random_allocation,8,0.1,0.09,3.45
380,random_allocation,8,0.01,0.1,2.6
381,random_allocation,8,0.02,0.1,3.45
382,random_allocation,8,0.03,0.1,3.35
383,random_allocation,8,0.04,0.1,2.8
384,random_allocation,8,0.05,0.1,2.5
385,random_allocation,8,0.06,0.1,3.2
386,random_allocation,8,0.07,0.1,2.95
387,random_allocation,8,0.08,0.1,2.85
388,random_allocation,8,0.09,0.1,2.85
389,random_allocation,8,0.1,0.1,2.9
390,random_allocation,8,0.01,0.11,3.25
391,random_allocation,8,0.02,0.11,3.2
392,random_allocation,8,0.03,0.11,3.1
393,random_allocation,8,0.04,0.11,2.95
394,random_allocation,8,0.05,0.11,2.6
395,random_allocation,8,0.06,0.11,3.35
396,random_allocation,8,0.07,0.11,2.6
397,random_allocation,8,0.08,0.11,2.55
398,random_allocation,8,0.09,0.11,3.0
399,random_allocation,8,0.1,0.11,2.65
400,random_allocation,8,0.01,0.12,2.8
401,random_allocation,8,0.02,0.12,3.4
402,random_allocation,8,0.03,0.12,2.45
403,random_allocation,8,0.04,0.12,2.45
404,random_allocation,8,0.05,0.12,2.85
405,random_allocation,8,0.06,0.12,3.15
406,random_allocation,8,0.07,0.12,2.15
407,random_allocation,8,0.08,0.12,3.4
408,random_allocation,8,0.09,0.12,2.65
409,random_allocation,8,0.1,0.12,2.45
410,random_allocation,8,0.01,0.13,2.35
411,random_allocation,8,0.02,0.13,2.15
412,random_allocation,8,0.03,0.13,2.2
413,random_allocation,8,0.04,0.13,1.7
414,random_allocation,8,0.05,0.13,2.3
415,random_allocation,8,0.06,0.13,2.05
416,random_allocation,8,0.07,0.13,1.75
417,random_allocation,8,0.08,0.13,1.8
418,random_allocation,8,0.09,0.13,1.9
419,random_allocation,8,0.1,0.13,2.05
420,random_allocation,8,0.01,0.14,1.95
421,random_allocation,8,0.02,0.14,2.25
422,random_allocation,8,0.03,0.14,2.4
423,random_allocation,8,0.04,0.14,2.05
424,random_allocation,8,0.05,0.14,1.95
425,random_allocation,8,0.06,0.14,1.8
426,random_allocation,8,0.07,0.14,2.15
427,random_allocation,8,0.08,0.14,2.1
428,random_allocation,8,0.09,0.14,2.25
429,random_allocation,8,0.1,0.14,1.95
430,random_allocation,8,0.01,0.15,2.1
431,random_allocation,8,0.02,0.15,1.85
432,random_allocation,8,0.03,0.15,2.05
433,random_allocation,8,0.04,0.15,1.95
434,random_allocation,8,0.05,0.15,2.15
435,random_allocation,8,0.06,0.15,1.75
436,random_allocation,8,0.07,0.15,1.75
437,random_allocation,8,0.08,0.15,2.0
438,random_allocation,8,0.09,0.15,2.15
439,random_allocation,8,0.1,0.15,1.85
440,random_allocation,9,0.01,0.05,3.15
441,random_allocation,9,0.02,0.05,3.3
442,random_allocation,9,0.03,0.05,2.95
443,random_allocation,9,0.04,0.05,3.1
444,random_allocation,9,0.05,0.05,2.8
445,random_allocation,9,0.06,0.05,3.25
446,random_allocation,9,0.07,0.05,2.4
447,random_allocation,9,0.08,0.05,2.7
448,random_allocation,9,0.09,0.05,3.1
449,random_allocation,9,0.1,0.05,2.95
450,random_allocation,9,0.01,0.06,2.3
451,random_allocation,9,0.02,0.06,3.25
452,random_allocation,9,0.03,0.06,2.7
453,random_allocation,9,0.04,0.06,2.7
454,random_allocation,9,0.05,0.06,2.75
455,random_allocation,9,0.06,0.06,3.2
456,random_allocation,9,0.07,0.06,2.65
457,random_allocation,9,0.08,0.06,3.1
458,random_allocation,9,0.09,0.06,2.8
459,random_allocation,9,0.1,0.06,2.4
460,random_allocation,9,0.01,0.07,2.55
461,random_allocation,9,0.02,0.07,2.8
462,random_allocation,9,0.03,0.07,2.4
463,random_allocation,9,0.04,0.07,3.35
464,random_allocation,9,0.05,0.07,2.55
465,random_allocation,9,0.06,0.07,2.65
466,random_allocation,9,0.07,0.07,2.95
467,random_allocation,9,0.08,0.07,2.9
468,random_allocation,9,0.09,0.07,2.9
469,random_allocation,9,0.1,0.07,2.95
470,random_allocation,9,0.01,0.08,2.85
471,random_allocation,9,0.02,0.08,2.95
472,random_allocation,9,0.03,0.08,2.9
473,random_allocation,9,0.04,0.08,3.0
474,random_allocation,9,0.05,0.08,2.45
475,random_allocation,9,0.06,0.08,2.45
476,random_allocation,9,0.07,0.08,2.45
477,random_allocation,9,0.08,0.08,3.25
478,random_allocation,9,0.09,0.08,2.4
479,random_allocation,9,0.1,0.08,2.15
480,random_allocation,9,0.01,0.09,2.9
481,random_allocation,9,0.02,0.09,2.4
482,random_allocation,9,0.03,0.09,3.0
483,random_allocation,9,0.04,0.09,2.5
484,random_allocation,9,0.05,0.09,3.35
485,random_allocation,9,0.06,0.09,2.4
486,random_allocation,9,0.07,0.09,2.45
487,random_allocation,9,0.08,0.09,2.7
488,random_allocation,9,0.09,0.09,2.4
489,random_allocation,9,0.1,0.09,2.55
490,random_allocation,9,0.01,0.1,2.7
491,random_allocation,9,0.02,0.1,2.75
492,random_allocation,9,0.03,0.1,3.0
493,random_allocation,9,0.04,0.1,2.8
494,random_allocation,9,0.05,0.1,2.65
495,random_allocation,9,0.06,0.1,2.8
496,random_allocation,9,0.07,0.1,3.25
497,random_allocation,9,0.08,0.1,2.8
498,random_allocation,9,0.09,0.1,2.75
499,random_allocation,9,0.1,0.1,3.4
500,random_allocation,9,0.01,0.11,3.3
501,random_allocation,9,0.02,0.11,3.25
502,random_allocation,9,0.03,0.11,2.8
503,random_allocation,9,0.04,0.11,2.9
504,random_allocation,9,0.05,0.11,2.55
505,random_allocation,9,0.06,0.11,2.35
506,random_allocation,9,0.07,0.11,2.3
507,random_allocation,9,0.08,0.11,3.0
508,random_allocation,9,0.09,0.11,4.0
509,random_allocation,9,0.1,0.11,2.55
510,random_allocation,9,0.01,0.12,2.15
511,random_allocation,9,0.02,0.12,1.85
512,random_allocation,9,0.03,0.12,2.0
513,random_allocation,9,0.04,0.12,2.15
514,random_allocation,9,0.05,0.12,1.85
515,random_allocation,9,0.06,0.12,2.1
516,random_allocation,9,0.07,0.12,2.05
517,random_allocation,9,0.08,0.12,1.6
518,random_allocation,9,0.09,0.12,2.05
519,random_allocation,9,0.1,0.12,1.85
520,random_allocation,9,0.01,0.13,2.05
521,random_allocation,9,0.02,0.13,2.5
522,random_allocation,9,0.03,0.13,2.2
523,random_allocation,9,0.04,0.13,2.15
524,random_allocation,9,0.05,0.13,1.9
525,random_allocation,9,0.06,0.13,2.1
526,random_allocation,9,0.07,0.13,2.1
527,random_allocation,9,0.08,0.13,1.9
528,random_allocation,9,0.09,0.13,2.15
529,random_allocation,9,0.1,0.13,2.35
530,random_allocation,9,0.01,0.14,2.35
531,random_allocation,9,0.02,0.14,2.55
532,random_allocation,9,0.03,0.14,2.05
533,random_allocation,9,0.04,0.14,2.4
534,random_allocation,9,0.05,0.14,2.05
535,random_allocation,9,0.06,0.14,1.85
536,random_allocation,9,0.07,0.14,1.95
537,random_allocation,9,0.08,0.14,2.4
538,random_allocation,9,0.09,0.14,2.3
539,random_allocation,9,0.1,0.14,2.05
540,random_allocation,9,0.01,0.15,2.35
541,random_allocation,9,0.02,0.15,1.95
542,random_allocation,9,0.03,0.15,2.25
543,random_allocation,9,0.04,0.15,2.15
544,random_allocation,9,0.05,0.15,1.95
545,random_allocation,9,0.06,0.15,2.25
546,random_allocation,9,0.07,0.15,2.25
547,random_allocation,9,0.08,0.15,2.35
548,random_allocation,9,0.09,0.15,1.85
549,random_allocation,9,0.1,0.15,2.35
550,random_allocation,10,0.01,0.05,3.2
551,random_allocation,10,0.02,0.05,2.95
552,random_allocation,10,0.03,0.05,2.65
553,random_allocation,10,0.04,0.05,2.6
554,random_allocation,10,0.05,0.05,2.65
555,random_allocation,10,0.06,0.05,2.7
556,random_allocation,10,0.07,0.05,2.2
557,random_allocation,10,0.08,0.05,2.6
558,random_allocation,10,0.09,0.05,2.45
559,random_allocation,10,0.1,0.05,2.5
560,random_allocation,10,0.01,0.06,2.6
561,random_allocation,10,0.02,0.06,2.8
562,random_allocation,10,0.03,0.06,2.3
563,random_allocation,10,0.04,0.06,3.05
564,random_allocation,10,0.05,0.06,2.7
565,random_allocation,10,0.06,0.06,3.25
566,random_allocation,10,0.07,0.06,2.6
567,random_allocation,10,0.08,0.06,2.35
568,random_allocation,10,0.09,0.06,3.55
569,random_allocation,10,0.1,0.06,2.15
570,random_allocation,10,0.01,0.07,2.15
571,random_allocation,10,0.02,0.07,2.8
572,random_allocation,10,0.03,0.07,3.0
573,random_allocation,10,0.04,0.07,2.45
574,random_allocation,10,0.05,0.07,3.0
575,random_allocation,10,0.06,0.07,2.65
576,random_allocation,10,0.07,0.07,2.6
577,random_allocation,10,0.08,0.07,2.95
578,random_allocation,10,0.09,0.07,3.0
579,random_allocation,10,0.1,0.07,2.7
580,random_allocation,10,0.01,0.08,2.95
581,random_allocation,10,0.02,0.08,2.8
582,random_allocation,10,0.03,0.08,3.15
583,random_allocation,10,0.04,0.08,2.85
584,random_allocation,10,0.05,0.08,2.55
585,random_allocation,10,0.06,0.08,3.7
586,random_allocation,10,0.07,0.08,3.0
587,random_allocation,10,0.08,0.08,3.05
588,random_allocation,10,0.09,0.08,3.0
589,random_allocation,10,0.1,0.08,3.4
590,random_allocation,10,0.01,0.09,2.6
591,random_allocation,10,0.02,0.09,2.65
592,random_allocation,10,0.03,0.09,2.85
593,random_allocation,10,0.04,0.09,3.55
594,random_allocation,10,0.05,0.09,3.85
595,random_allocation,10,0.06,0.09,2.45
596,random_allocation,10,0.07,0.09,2.7
597,random_allocation,10,0.08,0.09,3.0
598,random_allocation,10,0.09,0.09,2.6
599,random_allocation,10,0.1,0.09,2.45
600,random_allocation,10,0.01,0.1,2.85
601,random_allocation,10,0.02,0.1,2.5
602,random_allocation,10,0.03,0.1,2.75
603,random_allocation,10,0.04,0.1,2.55
604,random_allocation,10,0.05,0.1,2.75
605,random_allocation,10,0.06,0.1,2.4
606,random_allocation,10,0.07,0.1,2.95
607,random_allocation,10,0.08,0.1,2.8
608,random_allocation,10,0.09,0.1,2.7
609,random_allocation,10,0.1,0.1,2.55
610,random_allocation,10,0.01,0.11,1.95
611,random_allocation,10,0.02,0.11,2.0
612,random_allocation,10,0.03,0.11,2.3
613,random_allocation,10,0.04,0.11,2.25
614,random_allocation,10,0.05,0.11,1.8
615,random_allocation,10,0.06,0.11,2.7
616,random_allocation,10,0.07,0.11,2.35
617,random_allocation,10,0.08,0.11,2.05
618,random_allocation,10,0.09,0.11,1.95
619,random_allocation,10,0.1,0.11,2.4
620,random_allocation,10,0.01,0.12,2.45
621,random_allocation,10,0.02,0.12,1.9
622,random_allocation,10,0.03,0.12,2.25
623,random_allocation,10,0.04,0.12,2.0
624,random_allocation,10,0.05,0.12,2.0
625,random_allocation,10,0.06,0.12,1.85
626,random_allocation,10,0.07,0.12,2.1
627,random_allocation,10,0.08,0.12,1.95
