,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_num_sims
182,random_allocation,6,0.03,0.12,1.1
183,random_allocation,6,0.04,0.12,0.35
184,random_allocation,6,0.05,0.12,0.65
185,random_allocation,6,0.06,0.12,1.0
186,random_allocation,6,0.07,0.12,1.05
187,random_allocation,6,0.08,0.12,0.5
188,random_allocation,6,0.09,0.12,1.05
189,random_allocation,6,0.1,0.12,0.75
190,random_allocation,6,0.01,0.13,0.9
191,random_allocation,6,0.02,0.13,0.55
192,random_allocation,6,0.03,0.13,0.75
193,random_allocation,6,0.04,0.13,0.85
194,random_allocation,6,0.05,0.13,0.75
195,random_allocation,6,0.06,0.13,0.75
196,random_allocation,6,0.07,0.13,0.45
197,random_allocation,6,0.08,0.13,0.5
198,random_allocation,6,0.09,0.13,0.75
199,random_allocation,6,0.1,0.13,0.6
200,random_allocation,6,0.01,0.14,0.65
201,random_allocation,6,0.02,0.14,0.95
202,random_allocation,6,0.03,0.14,0.75
203,random_allocation,6,0.04,0.14,0.7
204,random_allocation,6,0.05,0.14,0.7
205,random_allocation,6,0.06,0.14,0.45
206,random_allocation,6,0.07,0.14,0.55
207,random_allocation,6,0.08,0.14,0.75
208,random_allocation,6,0.09,0.14,1.0
209,random_allocation,6,0.1,0.14,0.5
210,random_allocation,6,0.01,0.15,0.75
211,random_allocation,6,0.02,0.15,0.95
212,random_allocation,6,0.03,0.15,0.5
213,random_allocation,6,0.04,0.15,0.6
214,random_allocation,6,0.05,0.15,0.75
215,random_allocation,6,0.06,0.15,0.8
216,random_allocation,6,0.07,0.15,1.05
217,random_allocation,6,0.08,0.15,1.15
218,random_allocation,6,0.09,0.15,0.85
219,random_allocation,6,0.1,0.15,0.6
220,random_allocation,7,0.01,0.05,0.75
221,random_allocation,7,0.02,0.05,0.9
222,random_allocation,7,0.03,0.05,0.9
223,random_allocation,7,0.04,0.05,1.35
224,random_allocation,7,0.05,0.05,1.25
225,random_allocation,7,0.06,0.05,0.7
226,random_allocation,7,0.07,0.05,1.0
227,random_allocation,7,0.08,0.05,1.0
228,random_allocation,7,0.09,0.05,1.3
229,random_allocation,7,0.1,0.05,1.35
230,random_allocation,7,0.01,0.06,0.85
231,random_allocation,7,0.02,0.06,1.3
232,random_allocation,7,0.03,0.06,1.0
233,random_allocation,7,0.04,0.06,0.95
234,random_allocation,7,0.05,0.06,0.8
235,random_allocation,7,0.06,0.06,1.1
236,random_allocation,7,0.07,0.06,0.8
237,random_allocation,7,0.08,0.06,1.0
238,random_allocation,7,0.09,0.06,0.8
239,random_allocation,7,0.1,0.06,1.3
240,random_allocation,7,0.01,0.07,1.1
241,random_allocation,7,0.02,0.07,1.25
242,random_allocation,7,0.03,0.07,0.9
243,random_allocation,7,0.04,0.07,1.15
244,random_allocation,7,0.05,0.07,1.55
245,random_allocation,7,0.06,0.07,1.1
246,random_allocation,7,0.07,0.07,0.95
247,random_allocation,7,0.08,0.07,0.95
248,random_allocation,7,0.09,0.07,0.95
249,random_allocation,7,0.1,0.07,1.0
250,random_allocation,7,0.01,0.08,1.45
251,random_allocation,7,0.02,0.08,1.05
252,random_allocation,7,0.03,0.08,1.2
253,random_allocation,7,0.04,0.08,1.05
254,random_allocation,7,0.05,0.08,1.05
255,random_allocation,7,0.06,0.08,1.2
256,random_allocation,7,0.07,0.08,0.8
257,random_allocation,7,0.08,0.08,1.0
258,random_allocation,7,0.09,0.08,0.95
259,random_allocation,7,0.1,0.08,1.05
260,random_allocation,7,0.01,0.09,0.8
261,random_allocation,7,0.02,0.09,1.2
262,random_allocation,7,0.03,0.09,1.15
263,random_allocation,7,0.04,0.09,0.95
264,random_allocation,7,0.05,0.09,1.4
265,random_allocation,7,0.06,0.09,1.05
266,random_allocation,7,0.07,0.09,1.1
267,random_allocation,7,0.08,0.09,0.7
268,random_allocation,7,0.09,0.09,0.95
269,random_allocation,7,0.1,0.09,1.1
270,random_allocation,7,0.01,0.1,0.95
271,random_allocation,7,0.02,0.1,0.95
272,random_allocation,7,0.03,0.1,1.1
273,random_allocation,7,0.04,0.1,1.35
274,random_allocation,7,0.05,0.1,1.5
275,random_allocation,7,0.06,0.1,0.85
276,random_allocation,7,0.07,0.1,0.7
277,random_allocation,7,0.08,0.1,0.9
278,random_allocation,7,0.09,0.1,1.25
279,random_allocation,7,0.1,0.1,1.45
280,random_allocation,7,0.01,0.11,1.1
281,random_allocation,7,0.02,0.11,1.05
282,random_allocation,7,0.03,0.11,0.95
283,random_allocation,7,0.04,0.11,0.95
284,random_allocation,7,0.05,0.11,1.1
285,random_allocation,7,0.06,0.11,0.7
286,random_allocation,7,0.07,0.11,1.05
287,random_allocation,7,0.08,0.11,1.15
288,random_allocation,7,0.09,0.11,1.0
289,random_allocation,7,0.1,0.11,1.0
290,random_allocation,7,0.01,0.12,0.65
291,random_allocation,7,0.02,0.12,0.9
292,random_allocation,7,0.03,0.12,1.15
293,random_allocation,7,0.04,0.12,1.25
294,random_allocation,7,0.05,0.12,1.1
295,random_allocation,7,0.06,0.12,0.9
296,random_allocation,7,0.07,0.12,1.0
297,random_allocation,7,0.08,0.12,1.1
298,random_allocation,7,0.09,0.12,1.1
299,random_allocation,7,0.1,0.12,0.95
300,random_allocation,7,0.01,0.13,0.95
301,random_allocation,7,0.02,0.13,0.85
302,random_allocation,7,0.03,0.13,0.9
303,random_allocation,7,0.04,0.13,1.1
304,random_allocation,7,0.05,0.13,1.45
305,random_allocation,7,0.06,0.13,1.0
306,random_allocation,7,0.07,0.13,1.3
307,random_allocation,7,0.08,0.13,1.05
308,random_allocation,7,0.09,0.13,1.05
309,random_allocation,7,0.1,0.13,1.15
310,random_allocation,7,0.01,0.14,0.85
311,random_allocation,7,0.02,0.14,1.15
312,random_allocation,7,0.03,0.14,1.0
313,random_allocation,7,0.04,0.14,0.85
314,random_allocation,7,0.05,0.14,1.25
315,random_allocation,7,0.06,0.14,1.1
316,random_allocation,7,0.07,0.14,0.85
317,random_allocation,7,0.08,0.14,1.2
318,random_allocation,7,0.09,0.14,1.3
319,random_allocation,7,0.1,0.14,1.2
320,random_allocation,7,0.01,0.15,0.65
321,random_allocation,7,0.02,0.15,0.6
322,random_allocation,7,0.03,0.15,0.8
323,random_allocation,7,0.04,0.15,0.55
324,random_allocation,7,0.05,0.15,0.55
325,random_allocation,7,0.06,0.15,0.6
326,random_allocation,7,0.07,0.15,0.65
327,random_allocation,7,0.08,0.15,0.9
328,random_allocation,7,0.09,0.15,0.75
329,random_allocation,7,0.1,0.15,0.9
330,random_allocation,8,0.01,0.05,1.1
331,random_allocation,8,0.02,0.05,1.0
332,random_allocation,8,0.03,0.05,1.55
333,random_allocation,8,0.04,0.05,1.15
334,random_allocation,8,0.05,0.05,1.15
335,random_allocation,8,0.06,0.05,1.35
336,random_allocation,8,0.07,0.05,1.25
337,random_allocation,8,0.08,0.05,1.3
338,random_allocation,8,0.09,0.05,1.5
339,random_allocation,8,0.1,0.05,1.35
340,random_allocation,8,0.01,0.06,1.4
341,random_allocation,8,0.02,0.06,1.25
342,random_allocation,8,0.03,0.06,1.0
343,random_allocation,8,0.04,0.06,1.05
344,random_allocation,8,0.05,0.06,0.9
345,random_allocation,8,0.06,0.06,1.5
346,random_allocation,8,0.07,0.06,1.4
347,random_allocation,8,0.08,0.06,0.95
348,random_allocation,8,0.09,0.06,1.3
349,random_allocation,8,0.1,0.06,1.05
350,random_allocation,8,0.01,0.07,1.4
351,random_allocation,8,0.02,0.07,1.3
352,random_allocation,8,0.03,0.07,1.5
353,random_allocation,8,0.04,0.07,1.1
354,random_allocation,8,0.05,0.07,1.4
355,random_allocation,8,0.06,0.07,1.5
356,random_allocation,8,0.07,0.07,1.15
357,random_allocation,8,0.08,0.07,1.5
358,random_allocation,8,0.09,0.07,1.2
359,random_allocation,8,0.1,0.07,1.45
360,random_allocation,8,0.01,0.08,1.3
361,random_allocation,8,0.02,0.08,1.2
362,random_allocation,8,0.03,0.08,1.25
363,random_allocation,8,0.04,0.08,1.25
364,random_allocation,8,0.05,0.08,1.5
365,random_allocation,8,0.06,0.08,1.4
366,random_allocation,8,0.07,0.08,1.3
367,random_allocation,8,0.08,0.08,1.35
368,random_allocation,8,0.09,0.08,1.25
369,random_allocation,8,0.1,0.08,1.35
370,random_allocation,8,0.01,0.09,1.2
371,random_allocation,8,0.02,0.09,1.45
372,random_allocation,8,0.03,0.09,1.4
373,random_allocation,8,0.04,0.09,1.4
374,random_allocation,8,0.05,0.09,1.45
375,random_allocation,8,0.06,0.09,1.55
376,random_allocation,8,0.07,0.09,1.2
377,random_allocation,8,0.08,0.09,1.4
378,random_allocation,8,0.09,0.09,1.4
379,random_allocation,8,0.1,0.09,1.3
380,random_allocation,8,0.01,0.1,1.3
381,random_allocation,8,0.02,0.1,1.0
382,random_allocation,8,0.03,0.1,1.0
383,random_allocation,8,0.04,0.1,1.45
384,random_allocation,8,0.05,0.1,1.15
385,random_allocation,8,0.06,0.1,1.3
386,random_allocation,8,0.07,0.1,1.2
387,random_allocation,8,0.08,0.1,1.35
388,random_allocation,8,0.09,0.1,1.05
389,random_allocation,8,0.1,0.1,1.5
390,random_allocation,8,0.01,0.11,1.35
391,random_allocation,8,0.02,0.11,1.05
392,random_allocation,8,0.03,0.11,1.2
393,random_allocation,8,0.04,0.11,1.25
394,random_allocation,8,0.05,0.11,0.9
395,random_allocation,8,0.06,0.11,1.2
396,random_allocation,8,0.07,0.11,1.35
397,random_allocation,8,0.08,0.11,1.3
398,random_allocation,8,0.09,0.11,1.4
399,random_allocation,8,0.1,0.11,1.45
400,random_allocation,8,0.01,0.12,1.35
401,random_allocation,8,0.02,0.12,1.4
402,random_allocation,8,0.03,0.12,1.65
403,random_allocation,8,0.04,0.12,1.25
404,random_allocation,8,0.05,0.12,1.15
405,random_allocation,8,0.06,0.12,1.35
406,random_allocation,8,0.07,0.12,1.6
407,random_allocation,8,0.08,0.12,1.1
408,random_allocation,8,0.09,0.12,1.15
409,random_allocation,8,0.1,0.12,1.9
410,random_allocation,8,0.01,0.13,0.8
411,random_allocation,8,0.02,0.13,0.85
412,random_allocation,8,0.03,0.13,0.65
413,random_allocation,8,0.04,0.13,0.95
414,random_allocation,8,0.05,0.13,0.65
415,random_allocation,8,0.06,0.13,0.65
416,random_allocation,8,0.07,0.13,0.95
417,random_allocation,8,0.08,0.13,1.05
418,random_allocation,8,0.09,0.13,0.8
419,random_allocation,8,0.1,0.13,0.8
420,random_allocation,8,0.01,0.14,0.55
421,random_allocation,8,0.02,0.14,0.8
422,random_allocation,8,0.03,0.14,0.75
423,random_allocation,8,0.04,0.14,1.05
424,random_allocation,8,0.05,0.14,0.85
425,random_allocation,8,0.06,0.14,0.95
426,random_allocation,8,0.07,0.14,1.05
427,random_allocation,8,0.08,0.14,0.6
428,random_allocation,8,0.09,0.14,0.8
429,random_allocation,8,0.1,0.14,0.95
430,random_allocation,8,0.01,0.15,1.3
431,random_allocation,8,0.02,0.15,0.65
432,random_allocation,8,0.03,0.15,0.85
433,random_allocation,8,0.04,0.15,0.9
434,random_allocation,8,0.05,0.15,0.85
435,random_allocation,8,0.06,0.15,0.9
436,random_allocation,8,0.07,0.15,0.8
437,random_allocation,8,0.08,0.15,0.85
438,random_allocation,8,0.09,0.15,0.7
439,random_allocation,8,0.1,0.15,1.1
440,random_allocation,9,0.01,0.05,1.55
441,random_allocation,9,0.02,0.05,1.55
442,random_allocation,9,0.03,0.05,1.65
443,random_allocation,9,0.04,0.05,1.45
444,random_allocation,9,0.05,0.05,1.45
445,random_allocation,9,0.06,0.05,1.25
446,random_allocation,9,0.07,0.05,1.8
447,random_allocation,9,0.08,0.05,1.7
448,random_allocation,9,0.09,0.05,1.45
449,random_allocation,9,0.1,0.05,1.15
450,random_allocation,9,0.01,0.06,1.55
451,random_allocation,9,0.02,0.06,1.4
452,random_allocation,9,0.03,0.06,1.15
453,random_allocation,9,0.04,0.06,1.7
454,random_allocation,9,0.05,0.06,1.7
455,random_allocation,9,0.06,0.06,1.3
456,random_allocation,9,0.07,0.06,1.35
457,random_allocation,9,0.08,0.06,1.4
458,random_allocation,9,0.09,0.06,1.55
459,random_allocation,9,0.1,0.06,1.5
460,random_allocation,9,0.01,0.07,1.7
461,random_allocation,9,0.02,0.07,1.5
462,random_allocation,9,0.03,0.07,1.6
463,random_allocation,9,0.04,0.07,1.45
464,random_allocation,9,0.05,0.07,1.95
465,random_allocation,9,0.06,0.07,1.45
466,random_allocation,9,0.07,0.07,1.1
467,random_allocation,9,0.08,0.07,1.3
468,random_allocation,9,0.09,0.07,1.4
469,random_allocation,9,0.1,0.07,1.2
470,random_allocation,9,0.01,0.08,1.55
471,random_allocation,9,0.02,0.08,1.55
472,random_allocation,9,0.03,0.08,1.55
473,random_allocation,9,0.04,0.08,1.6
474,random_allocation,9,0.05,0.08,1.35
475,random_allocation,9,0.06,0.08,1.75
476,random_allocation,9,0.07,0.08,1.35
477,random_allocation,9,0.08,0.08,1.55
478,random_allocation,9,0.09,0.08,1.5
479,random_allocation,9,0.1,0.08,1.75
480,random_allocation,9,0.01,0.09,1.65
481,random_allocation,9,0.02,0.09,1.55
482,random_allocation,9,0.03,0.09,1.45
483,random_allocation,9,0.04,0.09,1.45
484,random_allocation,9,0.05,0.09,1.35
485,random_allocation,9,0.06,0.09,1.65
486,random_allocation,9,0.07,0.09,1.45
487,random_allocation,9,0.08,0.09,1.3
488,random_allocation,9,0.09,0.09,1.8
489,random_allocation,9,0.1,0.09,1.45
490,random_allocation,9,0.01,0.1,1.5
491,random_allocation,9,0.02,0.1,1.3
492,random_allocation,9,0.03,0.1,1.5
493,random_allocation,9,0.04,0.1,1.35
494,random_allocation,9,0.05,0.1,1.55
495,random_allocation,9,0.06,0.1,1.45
496,random_allocation,9,0.07,0.1,1.1
497,random_allocation,9,0.08,0.1,1.5
498,random_allocation,9,0.09,0.1,1.3
499,random_allocation,9,0.1,0.1,1.55
500,random_allocation,9,0.01,0.11,1.2
501,random_allocation,9,0.02,0.11,1.25
502,random_allocation,9,0.03,0.11,1.7
503,random_allocation,9,0.04,0.11,1.4
504,random_allocation,9,0.05,0.11,1.35
505,random_allocation,9,0.06,0.11,1.45
506,random_allocation,9,0.07,0.11,1.75
507,random_allocation,9,0.08,0.11,1.8
508,random_allocation,9,0.09,0.11,1.25
509,random_allocation,9,0.1,0.11,1.5
510,random_allocation,9,0.01,0.12,0.95
511,random_allocation,9,0.02,0.12,1.05
512,random_allocation,9,0.03,0.12,1.25
513,random_allocation,9,0.04,0.12,0.85
514,random_allocation,9,0.05,0.12,0.75
515,random_allocation,9,0.06,0.12,0.85
516,random_allocation,9,0.07,0.12,1.0
517,random_allocation,9,0.08,0.12,1.2
518,random_allocation,9,0.09,0.12,1.1
519,random_allocation,9,0.1,0.12,1.0
520,random_allocation,9,0.01,0.13,0.95
521,random_allocation,9,0.02,0.13,0.9
522,random_allocation,9,0.03,0.13,1.15
523,random_allocation,9,0.04,0.13,1.1
524,random_allocation,9,0.05,0.13,1.05
525,random_allocation,9,0.06,0.13,1.1
526,random_allocation,9,0.07,0.13,0.95
527,random_allocation,9,0.08,0.13,1.05
528,random_allocation,9,0.09,0.13,0.85
529,random_allocation,9,0.1,0.13,1.1
530,random_allocation,9,0.01,0.14,0.9
531,random_allocation,9,0.02,0.14,1.05
532,random_allocation,9,0.03,0.14,1.2
533,random_allocation,9,0.04,0.14,0.75
534,random_allocation,9,0.05,0.14,0.8
535,random_allocation,9,0.06,0.14,1.3
536,random_allocation,9,0.07,0.14,1.05
537,random_allocation,9,0.08,0.14,0.95
538,random_allocation,9,0.09,0.14,1.3
539,random_allocation,9,0.1,0.14,1.5
540,random_allocation,9,0.01,0.15,1.0
541,random_allocation,9,0.02,0.15,0.85
542,random_allocation,9,0.03,0.15,0.85
543,random_allocation,9,0.04,0.15,0.75
544,random_allocation,9,0.05,0.15,1.2
545,random_allocation,9,0.06,0.15,0.85
546,random_allocation,9,0.07,0.15,1.2
547,random_allocation,9,0.08,0.15,0.75
548,random_allocation,9,0.09,0.15,0.95
549,random_allocation,9,0.1,0.15,1.25
550,random_allocation,10,0.01,0.05,1.2
551,random_allocation,10,0.02,0.05,1.6
552,random_allocation,10,0.03,0.05,1.75
553,random_allocation,10,0.04,0.05,1.9
554,random_allocation,10,0.05,0.05,1.6
555,random_allocation,10,0.06,0.05,1.7
556,random_allocation,10,0.07,0.05,1.7
557,random_allocation,10,0.08,0.05,1.55
558,random_allocation,10,0.09,0.05,1.45
559,random_allocation,10,0.1,0.05,1.45
560,random_allocation,10,0.01,0.06,1.7
561,random_allocation,10,0.02,0.06,1.7
562,random_allocation,10,0.03,0.06,1.7
563,random_allocation,10,0.04,0.06,1.45
564,random_allocation,10,0.05,0.06,1.5
565,random_allocation,10,0.06,0.06,1.55
566,random_allocation,10,0.07,0.06,1.7
567,random_allocation,10,0.08,0.06,1.45
568,random_allocation,10,0.09,0.06,1.5
569,random_allocation,10,0.1,0.06,1.75
570,random_allocation,10,0.01,0.07,1.65
571,random_allocation,10,0.02,0.07,1.7
572,random_allocation,10,0.03,0.07,1.8
573,random_allocation,10,0.04,0.07,1.5
574,random_allocation,10,0.05,0.07,1.3
575,random_allocation,10,0.06,0.07,1.7
576,random_allocation,10,0.07,0.07,1.65
577,random_allocation,10,0.08,0.07,1.55
578,random_allocation,10,0.09,0.07,1.65
579,random_allocation,10,0.1,0.07,1.65
580,random_allocation,10,0.01,0.08,1.2
581,random_allocation,10,0.02,0.08,1.5
582,random_allocation,10,0.03,0.08,1.35
583,random_allocation,10,0.04,0.08,1.5
584,random_allocation,10,0.05,0.08,1.8
585,random_allocation,10,0.06,0.08,1.5
586,random_allocation,10,0.07,0.08,1.5
587,random_allocation,10,0.08,0.08,1.45
588,random_allocation,10,0.09,0.08,1.65
589,random_allocation,10,0.1,0.08,1.5
590,random_allocation,10,0.01,0.09,1.75
591,random_allocation,10,0.02,0.09,1.85
592,random_allocation,10,0.03,0.09,1.6
593,random_allocation,10,0.04,0.09,1.4
594,random_allocation,10,0.05,0.09,1.5
595,random_allocation,10,0.06,0.09,1.55
596,random_allocation,10,0.07,0.09,1.5
597,random_allocation,10,0.08,0.09,1.45
598,random_allocation,10,0.09,0.09,1.55
599,random_allocation,10,0.1,0.09,1.75
600,random_allocation,10,0.01,0.1,1.65
601,random_allocation,10,0.02,0.1,1.6
602,random_allocation,10,0.03,0.1,1.55
603,random_allocation,10,0.04,0.1,1.7
604,random_allocation,10,0.05,0.1,1.45
605,random_allocation,10,0.06,0.1,1.8
606,random_allocation,10,0.07,0.1,1.7
607,random_allocation,10,0.08,0.1,1.35
608,random_allocation,10,0.09,0.1,1.8
609,random_allocation,10,0.1,0.1,1.55
610,random_allocation,10,0.01,0.11,0.95
611,random_allocation,10,0.02,0.11,0.8
612,random_allocation,10,0.03,0.11,1.1
613,random_allocation,10,0.04,0.11,1.0
614,random_allocation,10,0.05,0.11,1.05
615,random_allocation,10,0.06,0.11,0.95
616,random_allocation,10,0.07,0.11,1.25
617,random_allocation,10,0.08,0.11,1.0
618,random_allocation,10,0.09,0.11,1.0
619,random_allocation,10,0.1,0.11,1.1
620,random_allocation,10,0.01,0.12,0.85
621,random_allocation,10,0.02,0.12,0.95
622,random_allocation,10,0.03,0.12,0.95
623,random_allocation,10,0.04,0.12,1.2
624,random_allocation,10,0.05,0.12,1.05
625,random_allocation,10,0.06,0.12,1.4
626,random_allocation,10,0.07,0.12,1.1
627,random_allocation,10,0.08,0.12,1.15
