graph_name,num_nodes,num_edges,graph_density,mean_degree,median_degree,degree_std,iqr_degree,degree_amd,node_connectivity,average_clustering,adjacency_matrix_rank,incidence_matrix_rank,laplacian_matrix_rank,bethe_hessian_matrix_rank,modularity_matrix_rank,wiener_index,is_AT_free,has_bridge,is_chordal,clique_number,transitivity,edge_connectivity,node_connectivity,is_distance_regular,local_efficiency,global_efficiency,is_eulerian,is_semi_eulerian
fastGnp_1000_0.1_10.adjlist,1000,50174,0.10044844844844845,100.348,100.0,89.546896,13.0,7.6254800000000005,74,0.10037453915513869,1,1,1,1,999,948839.0,False,False,False,6,0.10031275723437506,74,74,False,0.49419803307054766,0.5502198865532197,False,False
powerLawTree_20_3_18.adjlist,20,19,0.1,1.9,1.5,2.9899999999999998,1.0,0.9,1,0.0,1,1,1,1,11,885.0,True,True,True,2,0.0,1,1,False,0.0,0.34985949722791815,False,False
randomRegular_20_3_20.adjlist,20,30,0.15789473684210525,3.0,3.0,0,0.0,0.0,3,0.09999999999999999,1,1,1,1,19,528.0,False,False,False,3,0.1,3,3,False,0.09999999999999999,0.4524561403508771,False,False
randomRegular_1000_3_12.adjlist,1000,1500,0.003003003003003003,3.0,3.0,0,0.0,0.0,3,0.0,1,1,1,1,999,4016789.0,False,False,False,2,0.0,3,3,False,0.0,0.13589532995662362,False,False
powerLawTree_20_3_9.adjlist,20,19,0.1,1.9,2.0,1.49,1.0,0.8099999999999999,1,0.0,1,1,1,1,13,950.0,True,True,True,2,0.0,1,1,False,0.0,0.32792967266651446,False,False
fastGnp_1000_0.1_14.adjlist,1000,50082,0.10026426426426427,100.164,100.0,88.259104,12.25,7.527512,75,0.09991975374238599,1,1,1,1,999,948938.0,False,False,False,6,0.0999195483210028,75,75,False,0.49341194788198944,0.5501254587921253,False,False
randomRegular_1000_3_16.adjlist,1000,1500,0.003003003003003003,3.0,3.0,0,0.0,0.0,3,0.001,1,1,1,1,999,4026145.0,False,False,False,3,0.001,3,3,False,0.001,0.13556464065370083,False,False
randomRegular_20_3_24.adjlist,20,30,0.15789473684210525,3.0,3.0,0,0.0,0.0,3,0.05,1,1,1,1,19,486.0,False,False,False,3,0.05,3,3,False,0.05,0.4741228070175445,False,False
powerLawTree_100_3_11.adjlist,100,99,0.02,1.98,1.0,4.739599999999999,1.0,1.1759999999999997,1,0.0,1,1,1,1,59,67498.0,True,True,True,2,0.0,1,1,False,0.0,0.15960514032158332,False,False
fastGnp_100_0.1_27.adjlist,100,467,0.09434343434343434,9.34,9.0,7.9644,4.25,2.3535999999999997,4,0.08858094030152852,1,1,1,1,99,11357.0,False,False,False,4,0.0936408106219427,4,4,False,0.13312665376562433,0.48277777777777725,False,False
fastGnp_1000_0.01_2.adjlist,1000,4998,0.010006006006006006,9.996,10.0,10.347984,4.0,2.528376,1,0.00975008102492623,1,1,1,1,999,1626971.0,False,True,False,3,0.0102920057443753,1,1,False,0.010191739904975206,0.3249726059391064,False,False
randomRegular_20_5_3.adjlist,20,50,0.2631578947368421,5.0,5.0,0,0.0,0.0,5,0.18,1,1,1,1,19,361.0,False,False,False,3,0.18,5,5,False,0.20333333333333337,0.6043859649122812,False,False
powerLawTree_20_3_14.adjlist,20,19,0.1,1.9,1.0,6.989999999999999,0.25,1.3499999999999999,1,0.0,1,1,1,1,7,527.0,True,True,True,2,0.0,1,1,False,0.0,0.44824561403508767,False,False
powerLawTree_1000_3_26.adjlist,1000,999,0.002,1.998,1.0,7.369996,1.0,1.115764,1,0.0,1,1,1,1,623,69295960.0,True,True,True,2,0.0,1,1,False,0.0,0.03731729717795481,False,False
powerLawTree_20_3_1.adjlist,20,19,0.1,1.9,1.0,2.8899999999999997,1.0,1.0799999999999998,1,0.0,1,1,1,1,11,730.0,True,True,True,2,0.0,1,1,False,0.0,0.3741750208855469,False,False
powerLawTree_100_3_19.adjlist,100,99,0.02,1.98,1.0,7.159599999999999,1.0,1.1171999999999997,1,0.0,1,1,1,1,59,73144.0,True,True,True,2,0.0,1,1,False,0.0,0.16272068659320374,False,False
fastGnp_100_0.1_23.adjlist,100,506,0.10222222222222223,10.12,10.0,10.4856,4.25,2.6919999999999997,3,0.1059418032947444,1,1,1,1,99,11050.0,False,False,False,4,0.10624635143023935,3,3,False,0.17365845657999018,0.4956228956228938,False,False
randomRegular_20_3_28.adjlist,20,30,0.15789473684210525,3.0,3.0,0,0.0,0.0,3,0.0,1,1,1,1,19,516.0,False,False,False,2,0.0,3,3,False,0.0,0.46017543859649146,False,False
powerLawTree_20_3_5.adjlist,20,19,0.1,1.9,1.0,3.59,1.0,1.2599999999999998,1,0.0,1,1,1,1,9,623.0,True,True,True,2,0.0,1,1,False,0.0,0.3980325814536338,False,False
