,heuristic_name,num_nodes,proportion_of_defender_nodes_per_round,proportion_of_nodes_on_fire_initial,mean_time
174,random_allocation,6,0.05,0.11,5.639791488647461e-05
175,random_allocation,6,0.06,0.11,6.387233734130859e-05
176,random_allocation,6,0.07,0.11,5.861520767211914e-05
177,random_allocation,6,0.08,0.11,6.153583526611329e-05
178,random_allocation,6,0.09,0.11,6.417036056518554e-05
179,random_allocation,6,0.1,0.11,6.597042083740234e-05
180,random_allocation,6,0.01,0.12,6.538629531860352e-05
181,random_allocation,6,0.02,0.12,6.569623947143555e-05
182,random_allocation,6,0.03,0.12,6.856918334960938e-05
183,random_allocation,6,0.04,0.12,6.585121154785156e-05
184,random_allocation,6,0.05,0.12,6.582736968994141e-05
185,random_allocation,6,0.06,0.12,6.780624389648437e-05
186,random_allocation,6,0.07,0.12,6.468296051025391e-05
187,random_allocation,6,0.08,0.12,6.710290908813476e-05
188,random_allocation,6,0.09,0.12,7.241964340209961e-05
189,random_allocation,6,0.1,0.12,7.642507553100586e-05
190,random_allocation,6,0.01,0.13,6.542205810546874e-05
191,random_allocation,6,0.02,0.13,6.393194198608398e-05
192,random_allocation,6,0.03,0.13,6.030797958374023e-05
193,random_allocation,6,0.04,0.13,6.914138793945312e-05
194,random_allocation,6,0.05,0.13,6.451606750488282e-05
195,random_allocation,6,0.06,0.13,5.649328231811523e-05
196,random_allocation,6,0.07,0.13,5.788803100585938e-05
197,random_allocation,6,0.08,0.13,6.418228149414062e-05
198,random_allocation,6,0.09,0.13,6.663799285888672e-05
199,random_allocation,6,0.1,0.13,5.838871002197266e-05
200,random_allocation,6,0.01,0.14,7.214546203613282e-05
201,random_allocation,6,0.02,0.14,6.61015510559082e-05
202,random_allocation,6,0.03,0.14,7.143020629882813e-05
203,random_allocation,6,0.04,0.14,7.041692733764649e-05
204,random_allocation,6,0.05,0.14,6.325244903564453e-05
205,random_allocation,6,0.06,0.14,6.961822509765625e-05
206,random_allocation,6,0.07,0.14,6.465911865234375e-05
207,random_allocation,6,0.08,0.14,6.661415100097656e-05
208,random_allocation,6,0.09,0.14,6.852149963378906e-05
209,random_allocation,6,0.1,0.14,6.216764450073242e-05
210,random_allocation,6,0.01,0.15,6.879568099975586e-05
211,random_allocation,6,0.02,0.15,6.361007690429688e-05
212,random_allocation,6,0.03,0.15,6.482601165771484e-05
213,random_allocation,6,0.04,0.15,5.795955657958984e-05
214,random_allocation,6,0.05,0.15,6.53386116027832e-05
215,random_allocation,6,0.06,0.15,6.831884384155274e-05
216,random_allocation,6,0.07,0.15,6.380081176757813e-05
217,random_allocation,6,0.08,0.15,6.906986236572265e-05
218,random_allocation,6,0.09,0.15,6.356239318847657e-05
219,random_allocation,6,0.1,0.15,6.55055046081543e-05
220,random_allocation,7,0.01,0.05,7.375478744506836e-05
221,random_allocation,7,0.02,0.05,7.42793083190918e-05
222,random_allocation,7,0.03,0.05,8.13603401184082e-05
223,random_allocation,7,0.04,0.05,8.641481399536133e-05
224,random_allocation,7,0.05,0.05,9.236335754394531e-05
225,random_allocation,7,0.06,0.05,8.237361907958984e-05
226,random_allocation,7,0.07,0.05,9.495019912719727e-05
227,random_allocation,7,0.08,0.05,7.253885269165039e-05
228,random_allocation,7,0.09,0.05,8.606910705566406e-05
229,random_allocation,7,0.1,0.05,8.515119552612304e-05
230,random_allocation,7,0.01,0.06,8.234977722167968e-05
231,random_allocation,7,0.02,0.06,8.50677490234375e-05
232,random_allocation,7,0.03,0.06,9.299516677856446e-05
233,random_allocation,7,0.04,0.06,8.018016815185547e-05
234,random_allocation,7,0.05,0.06,8.151531219482421e-05
235,random_allocation,7,0.06,0.06,9.058713912963867e-05
236,random_allocation,7,0.07,0.06,8.068084716796874e-05
237,random_allocation,7,0.08,0.06,7.995367050170899e-05
238,random_allocation,7,0.09,0.06,8.181333541870117e-05
239,random_allocation,7,0.1,0.06,8.33749771118164e-05
240,random_allocation,7,0.01,0.07,0.00010476112365722656
241,random_allocation,7,0.02,0.07,0.0001063704490661621
242,random_allocation,7,0.03,0.07,0.0001294851303100586
243,random_allocation,7,0.04,0.07,0.00011811256408691406
244,random_allocation,7,0.05,0.07,0.0001137852668762207
245,random_allocation,7,0.06,0.07,0.00010275840759277344
246,random_allocation,7,0.07,0.07,7.600784301757813e-05
247,random_allocation,7,0.08,0.07,7.969141006469727e-05
248,random_allocation,7,0.09,0.07,7.418394088745117e-05
249,random_allocation,7,0.1,0.07,8.118152618408203e-05
250,random_allocation,7,0.01,0.08,0.05803828239440918
251,random_allocation,7,0.02,0.08,8.171796798706055e-05
252,random_allocation,7,0.03,0.08,8.387565612792969e-05
253,random_allocation,7,0.04,0.08,7.19904899597168e-05
254,random_allocation,7,0.05,0.08,8.785724639892578e-05
255,random_allocation,7,0.06,0.08,9.309053421020508e-05
256,random_allocation,7,0.07,0.08,7.829666137695312e-05
257,random_allocation,7,0.08,0.08,8.037090301513672e-05
258,random_allocation,7,0.09,0.08,8.237361907958984e-05
259,random_allocation,7,0.1,0.08,8.558034896850586e-05
260,random_allocation,7,0.01,0.09,8.424520492553711e-05
261,random_allocation,7,0.02,0.09,7.88569450378418e-05
262,random_allocation,7,0.03,0.09,8.845329284667969e-05
263,random_allocation,7,0.04,0.09,7.703304290771485e-05
264,random_allocation,7,0.05,0.09,8.313655853271484e-05
265,random_allocation,7,0.06,0.09,7.919073104858398e-05
